"","ID","GPA_1","GPA_2","GPA_3","GPA_4","GPA_5","GPA_6","Degrees_1","Degrees_2","Degrees_3","Degrees_4","Degrees_5","Degrees_6","avg_degrees","Homophily_1","Homophily_2","Homophily_3","Homophily_4","Homophily_5","Homophily_6","GPA_Diff1","GPA_Diff2","GPA_Diff3","GPA_Diff4","GPA_Diff5","GPA_Diff6"
"1","X1",3.90232425962971,3.90232425962971,3.90232425962971,3.90232425962971,3.90232425962971,3.90232425962971,10,15,24,24,27,26,21,"0.476843927467568","0.446119938432026","0.557791992249526","0.594710465492155","0.622783555728259","0.569480614865773","0.11768229919039","-0.206856073266959","-0.0302512236497929","-0.00771184181373249","0.161627905353917","0.158957279169063"
"2","X2",3.36368935380039,3.36368935380039,3.36368935380039,3.36368935380039,3.36368935380039,3.36368935380039,18,26,26,25,50,55,33.3333333333333,"0.804202765080967","0.715349474014005","0.739326657523773","0.774804918579883","0.756741739992091","0.79827978719434","0.517951391507981","0.497938587199305","0.499896414844671","0.528866559653075","0.504522944258151","0.57992049262021"
"3","X3",4.09961650761558,4.09961650761558,4.09961650761558,4.09961650761558,4.09961650761558,4.09961650761558,28,31,28,33,40,30,31.6666666666667,"0.505790687763564","0.566710532356108","0.602361277848226","0.514247404059348","0.61021510031832","0.611846348153802","-0.108278058767386","-0.281985776342581","-0.154244887407424","-0.221271945174902","-0.250989712673634","-0.22492884182895"
"4","X4",4.08987811589283,4.08987811589283,4.08987811589283,4.08987811589283,4.08987811589283,4.08987811589283,36,34,32,39,51,37,38.1666666666667,"0.601964096108902","0.589883403964268","0.583248200102911","0.669254447823361","0.670371673440806","0.620792900306432","-0.194730255358461","-0.226511350490172","-0.235932084596284","-0.224703949181941","-0.219580021784635","-0.325579953383479"
"5","X5",2.97229458281601,2.97229458281601,2.97229458281601,2.97229458281601,2.97229458281601,2.97229458281601,22,20,34,18,34,31,26.5,"1.05620361425557","1.07796357669332","0.968672701665584","0.972279700223115","0.904488852818902","0.936506801505009","0.900207681659121","0.845280122273299","0.805479766892631","0.758142741436875","0.664670420499526","0.746303739867434"
"6","X6",4.32067802048982,4.32067802048982,4.32067802048982,4.32067802048982,4.32067802048982,4.32067802048982,4,17,18,8,22,7,12.6666666666667,"0.589708959262384","0.713507980939111","0.752364838251927","0.791256022284069","0.616855888399278","0.49063932695262","-0.445422632548038","-0.580229852700191","-0.592729091865871","-0.668023130597673","-0.435614825253911","-0.403073911516711"
"7","X7",3.9934540818708,3.9934540818708,3.9934540818708,3.9934540818708,3.9934540818708,3.9934540818708,22,33,30,13,32,45,29.1666666666667,"0.75487173043159","0.636851425429856","0.649783385946581","0.700962942936576","0.587140170001294","0.586824217845595","-0.240001553612033","-0.0643995152561541","-0.0981496404329353","-0.0585963146454097","-0.0927609809908734","-0.171526085926232"
"8","X8",3.28884241544166,3.28884241544166,3.28884241544166,3.28884241544166,3.28884241544166,3.28884241544166,6,2,19,7,16,11,10.1666666666667,"0.751944383287248","0.648032962409186","0.661505426976417","0.475795168709798","0.53234675391983","0.745314229375468","0.678970290145426","0.533385276206839","0.549406278253482","0.290063160364616","0.256523453604472","0.641815890534665"
"9","X9",3.59994216429441,3.59994216429441,3.59994216429441,3.59994216429441,3.59994216429441,3.59994216429441,3,6,7,12,0,1,4.83333333333333,"0.585980273028765","0.436269574497392","0.445888211665861","0.370297505463209","NaN","0.527223761510615","0.52522859614428","0.0375246551692671","0.0648395946789308","0.225939317261091","NaN","-0.527223761510615"
"10","X10",2.91195745925218,2.91195745925218,2.91195745925218,2.91195745925218,2.91195745925218,2.91195745925218,7,36,37,46,21,30,29.5,"0.985659541812349","1.14003354563989","1.11750088502825","1.15783091605596","1.18674099746874","1.09677391836493","0.751295712120281","0.983409404414855","0.977783083709191","0.960983382978329","1.0225285279305","0.930781375471339"
"11","X11",3.52086676321628,3.52086676321628,3.52086676321628,3.52086676321628,3.52086676321628,3.52086676321628,6,24,19,20,15,11,15.8333333333333,"0.394437412842394","0.499295569469586","0.477677336576551","0.54875946704739","0.553410641513439","0.429968083318233","0.0818424025436187","0.234994459859358","0.174933494027367","0.25778258795074","0.287886925257537","0.239289011224708"
"12","X12",5.02506079153627,5.02506079153627,5.02506079153627,5.02506079153627,5.02506079153627,5.02506079153627,12,14,45,43,44,36,32.3333333333333,"1.2189716118636","1.43645010373859","1.26124750151334","1.2653235439245","1.26938416349771","1.26974243069668","-1.10081266536814","-1.38180649217913","-1.16302919153769","-1.16660471008562","-1.16807058486009","-1.16209994312009"
"13","X13",4.49161344461201,4.49161344461201,4.49161344461201,4.49161344461201,4.49161344461201,4.49161344461201,0,2,8,6,7,5,4.66666666666667,"NaN","1.27742468221794","1.09696251808568","1.11190740439182","1.09620930251402","1.41737354719036","NaN","-1.01879185888714","-0.922673601282814","-0.945096855379231","-0.940989477369893","-1.29787712916771"
"14","X14",3.63235309322161,3.63235309322161,3.63235309322161,3.63235309322161,3.63235309322161,3.63235309322161,0,3,2,4,1,10,3.33333333333333,"NaN","0.350456787047725","0.370133263052168","0.289721561319899","0.200494526751151","0.480222219821893","NaN","0.0756717475325554","0.280884977756925","-0.0498855653962992","-0.200494526751151","0.168335729858857"
"15","X15",2.69924063860812,2.69924063860812,2.69924063860812,2.69924063860812,2.69924063860812,2.69924063860812,1,6,10,5,18,12,8.66666666666667,"1.19713772880983","1.09542882192198","1.26180660809894","1.19105854175098","1.18609126103008","1.12419964109795","1.19713772880983","0.952806644722798","1.19337860950891","1.048441519794","1.01869848011334","1.00008599871237"
